Adj Close,Open,High,Low,Close,Volume
1091.26001,1136.300049,1152.869995,1087.300049,1091.26001,26691700
1045.76001,1073.469971,1079,1027.699951,1045.76001,29782800
1057.26001,1052.390015,1076.589966,1021.539978,1057.26001,26482400
1025.48999,1043.209961,1048.439941,1022.440002,1025.48999,18337900
975.929993,980.400024,1008.469971,974.640015,975.929993,19785700
986.950012,997.640015,1021.190002,976.599976,986.950012,21992000
1022.369995,981.080017,1026.23999,973.099976,1022.369995,18373700
985,999.289978,1012.710022,982.190002,985,19474100
1004.289978,989.030029,1014.919983,973.409973,1004.289978,17238400
1028.150024,1005.059998,1034.939941,995.330017,1028.150024,16615900
977.200012,1030,1034,975.25,977.200012,23570400
1008.780029,1074.72998,1092.219971,996.419983,1008.780029,35138800
1005.049988,1014.909973,1034.849976,994,1005.049988,23232200
998.02002,978.969971,1008.619995,975.299988,998.02002,22780400
876.419983,995.429993,1000,875,876.419983,45377900
881.51001,898.580017,918,877.359985,881.51001,25652100
877.51001,899.97998,900,821.700012,877.51001,41649500
870.76001,902.25,934.400024,870,870.76001,29313400
902.940002,860.77002,906.359985,848.030029,902.940002,25260500
909.25,903.179993,924.080017,888.590027,909.25,21236500
952.619995,903.940002,955.5,885.280029,952.619995,27214600
873.280029,939.02002,945.599976,857.700012,873.280029,30839700
865.650024,887,888,843.109985,865.650024,24264100
787.109985,836.450012,845.630005,781.150024,787.109985,30270100
800.039978,819.309998,825.359985,774.25,800.039978,28133900
734,795,809.77002,727.200012,734,32408200
728,701,759.659973,680,728,46771000
769.590027,773.47998,787.349976,751.570007,769.590027,30651800
724.369995,767.159973,769.76001,719.090027,724.369995,28699500
761.609985,747.359985,764.47998,728.849976,761.609985,26745400
709.809998,744.52002,760.5,700.809998,709.809998,29270600
709.419983,707,734,694.109985,709.419983,30098900
663.900024,713.98999,721.580017,633,663.900024,48190600
674.900024,655.02002,679.960022,638.059998,674.900024,29634500
628.159973,653.530029,653.919983,620.570007,628.159973,29697500
658.799988,623.849976,669.320007,623.01001,658.799988,30713100
707.72998,661.419983,718.669983,653.659973,707.72998,35334400
759.630005,723.25,759.799988,720.530029,759.630005,29630300
